iter	Passed	Remaining
0	2	2935
1	3	1625
2	3	1217
3	4	996
4	4	850
5	4	751
6	4	684
7	5	636
8	5	595
9	5	561
10	5	535
11	6	516
12	6	497
13	6	480
14	7	464
15	7	452
16	7	442
17	7	432
18	8	427
19	8	422
20	8	416
21	9	419
22	9	415
23	10	415
24	10	410
25	10	404
26	11	399
27	11	393
28	11	389
29	11	384
30	12	382
31	12	382
32	12	378
33	13	374
34	13	372
35	13	369
36	14	366
37	14	363
38	14	360
39	14	358
40	15	357
41	15	355
42	16	357
43	16	357
44	16	359
45	17	358
46	17	358
47	18	359
48	18	361
49	18	360
50	19	360
51	19	359
52	20	357
53	20	357
54	20	356
55	21	354
56	21	352
57	21	351
58	21	350
59	22	349
60	22	347
61	22	346
62	23	345
63	23	344
64	23	343
65	24	342
66	24	341
67	24	341
68	25	342
69	25	342
70	26	341
71	26	341
72	26	339
73	27	338
74	27	337
75	27	336
76	27	335
77	28	333
78	28	333
79	28	333
80	29	332
81	29	330
82	29	327
83	29	326
84	30	325
85	30	324
86	30	323
87	31	324
88	31	324
89	32	323
90	32	322
91	32	321
92	32	320
93	33	319
94	33	318
95	33	317
96	33	316
97	34	316
98	34	315
99	35	315
100	35	314
101	35	313
102	35	312
103	36	312
104	36	311
105	37	312
106	37	312
107	37	313
108	38	312
109	38	311
110	38	310
111	39	310
112	39	310
113	39	309
114	40	309
115	40	308
116	40	306
117	40	305
118	41	306
119	41	306
120	42	306
121	42	304
122	42	304
123	42	303
124	43	302
125	43	302
126	43	301
127	44	300
128	44	300
129	44	299
130	45	298
131	45	298
132	45	297
133	45	296
134	46	296
135	46	295
136	46	295
137	47	295
138	47	295
139	48	295
140	48	294
141	48	293
142	48	293
143	49	292
144	49	291
145	49	290
146	50	290
147	50	289
148	50	289
149	51	289
150	51	289
151	51	289
152	52	288
153	52	288
154	52	288
155	53	287
156	53	286
157	53	286
158	54	286
159	54	286
160	54	284
161	54	284
162	55	284
163	55	284
164	56	283
165	56	284
166	56	283
167	57	283
168	57	283
169	58	284
170	58	284
171	59	285
172	59	285
173	60	284
174	60	284
175	60	284
176	61	283
177	61	283
178	61	283
179	62	282
180	62	282
181	62	282
182	63	281
183	63	281
184	63	280
185	64	280
186	64	279
187	64	279
188	65	278
189	65	278
190	65	277
191	65	277
192	66	277
193	66	276
194	66	276
195	67	275
196	67	275
197	67	275
198	68	274
199	68	274
200	68	274
201	69	273
202	69	273
203	69	272
204	70	272
205	70	272
206	71	272
207	71	271
208	71	271
209	72	271
210	72	271
211	72	270
212	73	270
